,Aeration
2011-01-01 00:02:41,23.2
2011-01-01 00:02:42,23.0
2011-01-01 00:02:43,24.1
2011-01-01 00:02:44,23.2
2011-01-01 00:02:45,22.5
2011-01-01 00:02:46,25.5
2011-01-01 00:02:47,23.5
2011-01-01 00:02:48,21.7
2011-01-01 00:02:49,23.8
2011-01-01 00:02:50,26.1
2011-01-01 00:02:51,26.2
2011-01-01 00:02:52,24.3
2011-01-01 00:02:53,23.4
2011-01-01 00:02:54,22.5
2011-01-01 00:02:55,22.7
2011-01-01 00:02:56,23.7
2011-01-01 00:02:57,23.5
2011-01-01 00:02:58,24.6
2011-01-01 00:02:59,23.0
2011-01-01 00:03:00,22.0
2011-01-01 00:03:01,22.0
2011-01-01 00:03:02,24.2
2011-01-01 00:03:03,23.9
2011-01-01 00:03:04,24.4
2011-01-01 00:03:05,25.4
2011-01-01 00:03:06,24.6
2011-01-01 00:03:07,24.2
2011-01-01 00:03:08,23.1
2011-01-01 00:03:09,23.8
2011-01-01 00:03:10,23.0
2011-01-01 00:03:11,23.4
2011-01-01 00:03:12,22.7
2011-01-01 00:03:13,23.2
2011-01-01 00:03:14,25.2
2011-01-01 00:03:15,25.8
2011-01-01 00:03:16,24.0
2011-01-01 00:03:17,22.3
2011-01-01 00:03:18,22.1
2011-01-01 00:03:19,22.9
2011-01-01 00:03:20,24.6
2011-01-01 00:03:21,23.8
2011-01-01 00:03:22,26.4
2011-01-01 00:03:23,25.7
2011-01-01 00:03:24,22.8
2011-01-01 00:03:25,22.8
2011-01-01 00:03:26,23.7
2011-01-01 00:03:27,24.0
2011-01-01 00:03:28,24.7
2011-01-01 00:03:29,24.6
2011-01-01 00:03:30,25.0
2011-01-01 00:03:31,23.7
2011-01-01 00:03:32,25.1
2011-01-01 00:03:33,23.3
2011-01-01 00:03:34,23.1
2011-01-01 00:03:35,24.2
2011-01-01 00:03:36,25.7
2011-01-01 00:03:37,23.6
2011-01-01 00:03:38,21.7
2011-01-01 00:03:39,24.5
2011-01-01 00:03:40,25.8
2011-01-01 00:03:41,25.5
2011-01-01 00:03:42,23.2
2011-01-01 00:03:43,24.6
2011-01-01 00:03:44,24.8
2011-01-01 00:03:45,24.6
2011-01-01 00:03:46,23.8
2011-01-01 00:03:47,24.4
2011-01-01 00:03:48,23.9
2011-01-01 00:03:49,26.0
2011-01-01 00:03:50,26.7
2011-01-01 00:03:51,22.7
2011-01-01 00:03:52,21.2
2011-01-01 00:03:53,22.9
2011-01-01 00:03:54,23.0
2011-01-01 00:03:55,22.8
2011-01-01 00:03:56,23.2
2011-01-01 00:03:57,24.5
2011-01-01 00:03:58,24.8
2011-01-01 00:03:59,23.6
2011-01-01 00:04:00,23.2
2011-01-01 00:04:01,26.6
2011-01-01 00:04:02,27.1
2011-01-01 00:04:03,25.1
2011-01-01 00:04:04,23.8
2011-01-01 00:04:05,22.8
2011-01-01 00:04:06,23.4
2011-01-01 00:04:07,24.5
2011-01-01 00:04:08,24.1
2011-01-01 00:04:09,23.3
2011-01-01 00:04:10,24.0
2011-01-01 00:04:11,23.9
2011-01-01 00:04:12,23.7
2011-01-01 00:04:13,23.5
2011-01-01 00:04:14,24.6
2011-01-01 00:04:15,25.1
2011-01-01 00:04:16,24.0
2011-01-01 00:04:17,23.1
2011-01-01 00:04:18,24.4
2011-01-01 00:04:19,24.5
2011-01-01 00:04:20,25.4
2011-01-01 00:04:21,24.4
2011-01-01 00:04:22,23.2
2011-01-01 00:04:23,21.3
2011-01-01 00:04:24,22.1
2011-01-01 00:04:25,22.7
2011-01-01 00:04:26,26.1
2011-01-01 00:04:27,26.3
2011-01-01 00:04:28,24.8
2011-01-01 00:04:29,23.3
2011-01-01 00:04:30,20.4
2011-01-01 00:04:31,22.1
2011-01-01 00:04:32,24.6
2011-01-01 00:04:33,24.1
2011-01-01 00:04:34,23.9
2011-01-01 00:04:35,25.5
2011-01-01 00:04:36,24.8
2011-01-01 00:04:37,24.8
2011-01-01 00:04:38,23.6
2011-01-01 00:04:39,23.4
2011-01-01 00:04:40,26.0
2011-01-01 00:04:41,26.3
2011-01-01 00:04:42,25.8
2011-01-01 00:04:43,23.5
2011-01-01 00:04:44,24.3
2011-01-01 00:04:45,26.3
2011-01-01 00:04:46,26.6
2011-01-01 00:04:47,24.6
2011-01-01 00:04:48,24.5
2011-01-01 00:04:49,24.1
2011-01-01 00:04:50,22.8
2011-01-01 00:04:51,24.0
2011-01-01 00:04:52,24.8
2011-01-01 00:04:53,24.4
2011-01-01 00:04:54,25.5
2011-01-01 00:04:55,24.5
2011-01-01 00:04:56,24.1
2011-01-01 00:04:57,21.9
2011-01-01 00:04:58,21.5
2011-01-01 00:04:59,23.0
2011-01-01 00:05:00,24.5
2011-01-01 00:05:01,24.6
2011-01-01 00:05:02,25.2
2011-01-01 00:05:03,22.7
2011-01-01 00:05:04,23.5
2011-01-01 00:05:05,25.3
2011-01-01 00:05:06,25.4
2011-01-01 00:05:07,25.3
2011-01-01 00:05:08,25.5
2011-01-01 00:05:09,23.7
2011-01-01 00:05:10,23.8
2011-01-01 00:05:11,23.7
2011-01-01 00:05:12,23.6
2011-01-01 00:05:13,22.1
2011-01-01 00:05:14,22.6
2011-01-01 00:05:15,24.8
2011-01-01 00:05:16,26.5
2011-01-01 00:05:17,25.4
2011-01-01 00:05:18,23.8
2011-01-01 00:05:19,23.2
2011-01-01 00:05:20,23.2
2011-01-01 00:05:21,25.2
2011-01-01 00:05:22,26.2
2011-01-01 00:05:23,25.2
2011-01-01 00:05:24,24.1
2011-01-01 00:05:25,24.1
2011-01-01 00:05:26,25.2
2011-01-01 00:05:27,26.7
2011-01-01 00:05:28,26.7
2011-01-01 00:05:29,24.1
2011-01-01 00:05:30,23.8
2011-01-01 00:05:31,23.9
2011-01-01 00:05:32,24.0
2011-01-01 00:05:33,24.9
2011-01-01 00:05:34,25.7
2011-01-01 00:05:35,24.4
2011-01-01 00:05:36,24.3
2011-01-01 00:05:37,24.1
2011-01-01 00:05:38,25.6
2011-01-01 00:05:39,25.5
2011-01-01 00:05:40,24.4
2011-01-01 00:05:41,24.1
2011-01-01 00:05:42,22.7
2011-01-01 00:05:43,23.6
2011-01-01 00:05:44,25.3
2011-01-01 00:05:45,24.9
2011-01-01 00:05:46,23.7
2011-01-01 00:05:47,24.5
2011-01-01 00:05:48,25.4
2011-01-01 00:05:49,25.1
2011-01-01 00:05:50,25.6
2011-01-01 00:05:51,25.2
2011-01-01 00:05:52,23.7
2011-01-01 00:05:53,24.9
2011-01-01 00:05:54,27.2
2011-01-01 00:05:55,27.0
2011-01-01 00:05:56,23.4
2011-01-01 00:05:57,23.1
2011-01-01 00:05:58,24.7
2011-01-01 00:05:59,25.1
2011-01-01 00:06:00,26.0
2011-01-01 00:06:01,26.3
2011-01-01 00:06:02,24.1
2011-01-01 00:06:03,22.6
2011-01-01 00:06:04,21.4
2011-01-01 00:06:05,22.1
2011-01-01 00:06:06,23.9
2011-01-01 00:06:07,26.2
2011-01-01 00:06:08,25.2
2011-01-01 00:06:09,23.8
2011-01-01 00:06:10,23.3
2011-01-01 00:06:11,26.1
2011-01-01 00:06:12,25.0
2011-01-01 00:06:13,24.9
2011-01-01 00:06:14,24.2
2011-01-01 00:06:15,23.1
2011-01-01 00:06:16,23.3
2011-01-01 00:06:17,26.7
2011-01-01 00:06:18,26.3
2011-01-01 00:06:19,24.9
2011-01-01 00:06:20,23.1
2011-01-01 00:06:21,22.4
2011-01-01 00:06:22,23.8
2011-01-01 00:06:23,24.1
2011-01-01 00:06:24,25.6
2011-01-01 00:06:25,23.5
2011-01-01 00:06:26,23.1
2011-01-01 00:06:27,23.8
2011-01-01 00:06:28,25.9
2011-01-01 00:06:29,26.2
2011-01-01 00:06:30,24.7
2011-01-01 00:06:31,24.8
2011-01-01 00:06:32,25.5
2011-01-01 00:06:33,25.5
2011-01-01 00:06:34,24.2
2011-01-01 00:06:35,23.9
2011-01-01 00:06:36,23.0
2011-01-01 00:06:37,24.7
2011-01-01 00:06:38,25.3
2011-01-01 00:06:39,25.5
2011-01-01 00:06:40,24.2
2011-01-01 00:06:41,20.8
2011-01-01 00:06:42,21.1
2011-01-01 00:06:43,23.2
2011-01-01 00:06:44,26.0
2011-01-01 00:06:45,25.5
2011-01-01 00:06:46,23.4
2011-01-01 00:06:47,20.6
2011-01-01 00:06:48,23.6
2011-01-01 00:06:49,25.6
2011-01-01 00:06:50,25.4
2011-01-01 00:06:51,23.1
2011-01-01 00:06:52,23.1
2011-01-01 00:06:53,22.8
2011-01-01 00:06:54,23.8
2011-01-01 00:06:55,23.3
2011-01-01 00:06:56,24.9
2011-01-01 00:06:57,24.1
2011-01-01 00:06:58,25.3
2011-01-01 00:06:59,25.2
2011-01-01 00:07:00,25.0
2011-01-01 00:07:01,22.9
2011-01-01 00:07:02,24.4
2011-01-01 00:07:03,25.7
2011-01-01 00:07:04,26.2
2011-01-01 00:07:05,25.6
2011-01-01 00:07:06,24.5
2011-01-01 00:07:07,24.5
2011-01-01 00:07:08,23.0
2011-01-01 00:07:09,23.7
2011-01-01 00:07:10,23.3
2011-01-01 00:07:11,23.6
2011-01-01 00:07:12,23.2
2011-01-01 00:07:13,25.2
2011-01-01 00:07:14,25.3
2011-01-01 00:07:15,24.3
2011-01-01 00:07:16,23.2
2011-01-01 00:07:17,23.8
2011-01-01 00:07:18,24.4
2011-01-01 00:07:19,24.1
2011-01-01 00:07:20,21.9
2011-01-01 00:07:21,22.6
2011-01-01 00:07:22,22.8
2011-01-01 00:07:23,24.4
2011-01-01 00:07:24,25.3
2011-01-01 00:07:25,24.6
2011-01-01 00:07:26,23.1
2011-01-01 00:07:27,24.4
2011-01-01 00:07:28,22.8
2011-01-01 00:07:29,23.7
2011-01-01 00:07:30,24.0
2011-01-01 00:07:31,24.3
2011-01-01 00:07:32,24.1
2011-01-01 00:07:33,23.1
2011-01-01 00:07:34,25.1
2011-01-01 00:07:35,25.0
2011-01-01 00:07:36,23.7
2011-01-01 00:07:37,25.5
2011-01-01 00:07:38,25.9
2011-01-01 00:07:39,24.7
2011-01-01 00:07:40,23.6
2011-01-01 00:07:41,23.7
2011-01-01 00:07:42,23.9
2011-01-01 00:07:43,23.6
2011-01-01 00:07:44,24.9
2011-01-01 00:07:45,25.4
2011-01-01 00:07:46,25.0
2011-01-01 00:07:47,24.0
2011-01-01 00:07:48,25.0
2011-01-01 00:07:49,23.4
2011-01-01 00:07:50,24.9
2011-01-01 00:07:51,26.4
2011-01-01 00:07:52,26.1
2011-01-01 00:07:53,22.9
2011-01-01 00:07:54,22.7
2011-01-01 00:07:55,23.1
2011-01-01 00:07:56,23.9
2011-01-01 00:07:57,23.9
2011-01-01 00:07:58,21.7
2011-01-01 00:07:59,22.3
2011-01-01 00:08:00,23.2
2011-01-01 00:08:01,24.7
2011-01-01 00:08:02,24.1
2011-01-01 00:08:03,23.8
2011-01-01 00:08:04,25.6
2011-01-01 00:08:05,24.0
2011-01-01 00:08:06,21.7
2011-01-01 00:08:07,22.8
2011-01-01 00:08:08,23.7
2011-01-01 00:08:09,23.6
2011-01-01 00:08:10,24.9
2011-01-01 00:08:11,25.1
2011-01-01 00:08:12,25.6
2011-01-01 00:08:13,23.5
2011-01-01 00:08:14,23.4
2011-01-01 00:08:15,24.0
2011-01-01 00:08:16,23.2
2011-01-01 00:08:17,22.7
2011-01-01 00:08:18,23.6
2011-01-01 00:08:19,24.7
2011-01-01 00:08:20,24.3
2011-01-01 00:08:21,24.6
2011-01-01 00:08:22,23.6
2011-01-01 00:08:23,23.1
2011-01-01 00:08:24,24.0
2011-01-01 00:08:25,25.9
2011-01-01 00:08:26,24.5
2011-01-01 00:08:27,24.7
2011-01-01 00:08:28,23.2
2011-01-01 00:08:29,24.8
2011-01-01 00:08:30,23.5
2011-01-01 00:08:31,23.6
2011-01-01 00:08:32,22.6
2011-01-01 00:08:33,25.7
2011-01-01 00:08:34,26.2
2011-01-01 00:08:35,25.0
2011-01-01 00:08:36,25.5
2011-01-01 00:08:37,25.2
2011-01-01 00:08:38,24.1
2011-01-01 00:08:39,24.4
2011-01-01 00:08:40,24.5
2011-01-01 00:08:41,25.1
2011-01-01 00:08:42,24.9
2011-01-01 00:08:43,24.3
2011-01-01 00:08:44,23.8
2011-01-01 00:08:45,24.6
2011-01-01 00:08:46,25.6
2011-01-01 00:08:47,24.9
2011-01-01 00:08:48,25.6
2011-01-01 00:08:49,24.7
2011-01-01 00:08:50,21.7
2011-01-01 00:08:51,22.0
2011-01-01 00:08:52,25.8
2011-01-01 00:08:53,27.4
2011-01-01 00:08:54,25.2
2011-01-01 00:08:55,22.7
2011-01-01 00:08:56,24.3
2011-01-01 00:08:57,24.7
2011-01-01 00:08:58,25.7
2011-01-01 00:08:59,25.5
2011-01-01 00:09:00,24.3
2011-01-01 00:09:01,23.5
2011-01-01 00:09:02,22.9
2011-01-01 00:09:03,25.5
2011-01-01 00:09:04,24.6
2011-01-01 00:09:05,24.4
2011-01-01 00:09:06,23.6
2011-01-01 00:09:07,22.6
2011-01-01 00:09:08,22.3
2011-01-01 00:09:09,26.0
2011-01-01 00:09:10,26.5
2011-01-01 00:09:11,25.2
2011-01-01 00:09:12,24.6
2011-01-01 00:09:13,25.3
2011-01-01 00:09:14,24.5
2011-01-01 00:09:15,24.6
2011-01-01 00:09:16,23.6
2011-01-01 00:09:17,25.7
2011-01-01 00:09:18,26.8
2011-01-01 00:09:19,25.2
2011-01-01 00:09:20,24.2
2011-01-01 00:09:21,22.9
2011-01-01 00:09:22,24.9
2011-01-01 00:09:23,23.9
2011-01-01 00:09:24,22.4
2011-01-01 00:09:25,24.7
2011-01-01 00:09:26,28.1
2011-01-01 00:09:27,27.6
2011-01-01 00:09:28,25.4
2011-01-01 00:09:29,22.9
2011-01-01 00:09:30,24.0
2011-01-01 00:09:31,25.4
2011-01-01 00:09:32,25.1
