,Ammonia
2011-01-19 12:00:00,32.88
2011-01-19 13:00:00,45.03
2011-01-19 14:00:00,45.02
2011-01-19 15:00:00,34.98
2011-01-19 16:00:00,37.37
2011-01-19 17:00:00,45.29
2011-01-19 18:00:00,39.26
2011-01-19 19:00:00,29.82
2011-01-19 20:00:00,31.55
2011-01-19 21:00:00,44.26
2011-01-19 22:00:00,39.01
2011-01-19 23:00:00,29.24
2011-01-20 00:00:00,29.59
2011-01-20 01:00:00,35.83
2011-01-20 02:00:00,37.21
2011-01-20 03:00:00,30.23
2011-01-20 04:00:00,29.83
2011-01-20 05:00:00,45.52
2011-01-20 06:00:00,43.51
2011-01-20 07:00:00,32.32
2011-01-20 08:00:00,31.16
2011-01-20 09:00:00,38.09
2011-01-20 10:00:00,36.11
2011-01-20 11:00:00,22.7
2011-01-20 12:00:00,23.35
2011-01-20 13:00:00,33.69
2011-01-20 14:00:00,26.97
2011-01-20 15:00:00,18.47
2011-01-20 16:00:00,20.25
2011-01-20 17:00:00,32.27
2011-01-20 18:00:00,36.15
2011-01-20 19:00:00,29.59
2011-01-20 20:00:00,28.27
2011-01-20 21:00:00,35.74
2011-01-20 22:00:00,37.4
2011-01-20 23:00:00,26.52
2011-01-21 00:00:00,23.68
2011-01-21 01:00:00,40.94
2011-01-21 02:00:00,39.41
2011-01-21 03:00:00,28.09
2011-01-21 04:00:00,22.2
2011-01-21 05:00:00,35.04
2011-01-21 06:00:00,32.07
2011-01-21 07:00:00,23.45
2011-01-21 08:00:00,27.51
2011-01-21 09:00:00,34.34
2011-01-21 10:00:00,34.65
2011-01-21 11:00:00,30.25
2011-01-21 12:00:00,23.36
2011-01-21 13:00:00,31.09
2011-01-21 14:00:00,28.77
2011-01-21 15:00:00,19.83
2011-01-21 16:00:00,21.2
2011-01-21 17:00:00,28.4
2011-01-21 18:00:00,27.1
2011-01-21 19:00:00,16.57
2011-01-21 20:00:00,17.36
2011-01-21 21:00:00,28.78
2011-01-21 22:00:00,32.13
2011-01-21 23:00:00,26.58
2011-01-22 00:00:00,29.39
2011-01-22 01:00:00,36.33
2011-01-22 02:00:00,36.18
2011-01-22 03:00:00,34.19
2011-01-22 04:00:00,37.31
2011-01-22 05:00:00,44.76
2011-01-22 06:00:00,48.53
2011-01-22 07:00:00,37.01
2011-01-22 08:00:00,34.81
2011-01-22 09:00:00,48.01
2011-01-22 10:00:00,42.78
2011-01-22 11:00:00,27.26
2011-01-22 12:00:00,30.86
2011-01-22 13:00:00,40.36
2011-01-22 14:00:00,40.2
2011-01-22 15:00:00,29.6
2011-01-22 16:00:00,29.42
2011-01-22 17:00:00,37.61
2011-01-22 18:00:00,35.47
2011-01-22 19:00:00,25.28
2011-01-22 20:00:00,25.01
2011-01-22 21:00:00,32.52
2011-01-22 22:00:00,31.13
2011-01-22 23:00:00,15.01
2011-01-23 00:00:00,19.06
2011-01-23 01:00:00,30.83
2011-01-23 02:00:00,30.99
2011-01-23 03:00:00,23.1
2011-01-23 04:00:00,25.11
2011-01-23 05:00:00,32.93
2011-01-23 06:00:00,31.54
2011-01-23 07:00:00,24.47
2011-01-23 08:00:00,26.15
2011-01-23 09:00:00,42.16
2011-01-23 10:00:00,46.3
2011-01-23 11:00:00,38.97
2011-01-23 12:00:00,36.29
2011-01-23 13:00:00,43.47
2011-01-23 14:00:00,39.61
2011-01-23 15:00:00,30.99
2011-01-23 16:00:00,23.17
2011-01-23 17:00:00,31.98
2011-01-23 18:00:00,31.36
2011-01-23 19:00:00,18.15
2011-01-23 20:00:00,22.23
2011-01-23 21:00:00,29.09
2011-01-23 22:00:00,30.48
2011-01-23 23:00:00,30.29
2011-01-24 00:00:00,25.92
2011-01-24 01:00:00,35.39
2011-01-24 02:00:00,34.13
2011-01-24 03:00:00,23.41
2011-01-24 04:00:00,26.85
2011-01-24 05:00:00,39.98
2011-01-24 06:00:00,41.8
2011-01-24 07:00:00,29.95
2011-01-24 08:00:00,37.75
2011-01-24 09:00:00,41.17
2011-01-24 10:00:00,37.45
2011-01-24 11:00:00,28.72
2011-01-24 12:00:00,29.61
2011-01-24 13:00:00,40.62
2011-01-24 14:00:00,44.8
2011-01-24 15:00:00,34.46
2011-01-24 16:00:00,34.85
2011-01-24 17:00:00,42.08
2011-01-24 18:00:00,43.14
2011-01-24 19:00:00,32.37
2011-01-24 20:00:00,31.68
2011-01-24 21:00:00,42.64
2011-01-24 22:00:00,44.98
2011-01-24 23:00:00,28.36
2011-01-25 00:00:00,30.1
2011-01-25 01:00:00,38.78
2011-01-25 02:00:00,41.25
2011-01-25 03:00:00,30.87
2011-01-25 04:00:00,35.19
2011-01-25 05:00:00,42.14
2011-01-25 06:00:00,34.74
2011-01-25 07:00:00,28.92
2011-01-25 08:00:00,26.99
2011-01-25 09:00:00,32.05
2011-01-25 10:00:00,32.4
2011-01-25 11:00:00,22.94
2011-01-25 12:00:00,26.61
2011-01-25 13:00:00,39.13
2011-01-25 14:00:00,39.0
2011-01-25 15:00:00,26.95
2011-01-25 16:00:00,28.62
2011-01-25 17:00:00,38.75
2011-01-25 18:00:00,40.08
2011-01-25 19:00:00,27.95
2011-01-25 20:00:00,27.45
2011-01-25 21:00:00,38.74
2011-01-25 22:00:00,42.1
2011-01-25 23:00:00,35.29
2011-01-26 00:00:00,35.51
2011-01-26 01:00:00,43.0
2011-01-26 02:00:00,43.41
2011-01-26 03:00:00,30.29
2011-01-26 04:00:00,28.31
2011-01-26 05:00:00,42.51
2011-01-26 06:00:00,42.97
2011-01-26 07:00:00,32.13
2011-01-26 08:00:00,34.9
2011-01-26 09:00:00,47.77
2011-01-26 10:00:00,45.16
2011-01-26 11:00:00,33.86
2011-01-26 12:00:00,32.32
2011-01-26 13:00:00,44.48
2011-01-26 14:00:00,46.45
2011-01-26 15:00:00,40.46
2011-01-26 16:00:00,42.94
2011-01-26 17:00:00,46.25
2011-01-26 18:00:00,45.97
2011-01-26 19:00:00,32.7
2011-01-26 20:00:00,31.39
2011-01-26 21:00:00,41.26
2011-01-26 22:00:00,43.14
2011-01-26 23:00:00,30.66
2011-01-27 00:00:00,24.12
2011-01-27 01:00:00,34.75
2011-01-27 02:00:00,42.7
2011-01-27 03:00:00,32.32
2011-01-27 04:00:00,32.73
2011-01-27 05:00:00,47.31
2011-01-27 06:00:00,47.85
2011-01-27 07:00:00,38.21
2011-01-27 08:00:00,39.22
2011-01-27 09:00:00,48.55
2011-01-27 10:00:00,43.77
2011-01-27 11:00:00,29.87
2011-01-27 12:00:00,36.04
2011-01-27 13:00:00,45.49
2011-01-27 14:00:00,44.74
2011-01-27 15:00:00,34.5
2011-01-27 16:00:00,36.89
2011-01-27 17:00:00,53.32
2011-01-27 18:00:00,53.06
2011-01-27 19:00:00,40.49
2011-01-27 20:00:00,39.54
2011-01-27 21:00:00,51.3
2011-01-27 22:00:00,47.92
2011-01-27 23:00:00,40.18
2011-01-28 00:00:00,32.7
2011-01-28 01:00:00,41.24
2011-01-28 02:00:00,42.5
2011-01-28 03:00:00,36.56
2011-01-28 04:00:00,33.95
2011-01-28 05:00:00,38.55
2011-01-28 06:00:00,37.41
2011-01-28 07:00:00,24.79
2011-01-28 08:00:00,25.37
2011-01-28 09:00:00,35.31
2011-01-28 10:00:00,31.32
2011-01-28 11:00:00,25.1
2011-01-28 12:00:00,25.62
2011-01-28 13:00:00,38.8
2011-01-28 14:00:00,32.89
2011-01-28 15:00:00,21.05
2011-01-28 16:00:00,23.99
2011-01-28 17:00:00,31.69
2011-01-28 18:00:00,31.53
2011-01-28 19:00:00,22.88
2011-01-28 20:00:00,24.57
2011-01-28 21:00:00,32.58
2011-01-28 22:00:00,33.27
2011-01-28 23:00:00,22.09
2011-01-29 00:00:00,25.41
2011-01-29 01:00:00,35.02
2011-01-29 02:00:00,35.48
2011-01-29 03:00:00,34.15
2011-01-29 04:00:00,30.91
2011-01-29 05:00:00,44.48
2011-01-29 06:00:00,35.56
2011-01-29 07:00:00,20.27
2011-01-29 08:00:00,18.02
2011-01-29 09:00:00,25.18
2011-01-29 10:00:00,26.78
2011-01-29 11:00:00,19.47
2011-01-29 12:00:00,20.26
2011-01-29 13:00:00,30.28
2011-01-29 14:00:00,32.34
2011-01-29 15:00:00,26.1
2011-01-29 16:00:00,23.01
2011-01-29 17:00:00,32.13
2011-01-29 18:00:00,32.2
2011-01-29 19:00:00,24.94
2011-01-29 20:00:00,23.63
2011-01-29 21:00:00,33.5
2011-01-29 22:00:00,33.74
2011-01-29 23:00:00,22.75
2011-01-30 00:00:00,21.79
2011-01-30 01:00:00,32.41
2011-01-30 02:00:00,32.28
2011-01-30 03:00:00,25.05
2011-01-30 04:00:00,22.89
2011-01-30 05:00:00,32.04
2011-01-30 06:00:00,31.65
2011-01-30 07:00:00,25.43
2011-01-30 08:00:00,23.56
2011-01-30 09:00:00,34.41
2011-01-30 10:00:00,35.23
2011-01-30 11:00:00,31.15
2011-01-30 12:00:00,28.51
2011-01-30 13:00:00,36.19
2011-01-30 14:00:00,33.26
2011-01-30 15:00:00,19.42
2011-01-30 16:00:00,26.27
2011-01-30 17:00:00,32.42
2011-01-30 18:00:00,30.23
2011-01-30 19:00:00,25.65
2011-01-30 20:00:00,21.33
2011-01-30 21:00:00,33.97
2011-01-30 22:00:00,29.83
2011-01-30 23:00:00,25.09
2011-01-31 00:00:00,19.57
2011-01-31 01:00:00,24.85
2011-01-31 02:00:00,24.23
2011-01-31 03:00:00,19.22
2011-01-31 04:00:00,20.71
2011-01-31 05:00:00,30.13
2011-01-31 06:00:00,34.66
2011-01-31 07:00:00,32.16
2011-01-31 08:00:00,34.46
2011-01-31 09:00:00,41.64
2011-01-31 10:00:00,39.72
2011-01-31 11:00:00,26.39
2011-01-31 12:00:00,27.55
2011-01-31 13:00:00,32.41
2011-01-31 14:00:00,34.32
2011-01-31 15:00:00,31.41
2011-01-31 16:00:00,33.92
2011-01-31 17:00:00,41.62
2011-01-31 18:00:00,42.54
2011-01-31 19:00:00,37.65
2011-01-31 20:00:00,42.09
2011-01-31 21:00:00,47.37
2011-01-31 22:00:00,47.67
2011-01-31 23:00:00,36.92
2011-02-01 00:00:00,39.15
2011-02-01 01:00:00,48.89
2011-02-01 02:00:00,40.39
2011-02-01 03:00:00,29.81
2011-02-01 04:00:00,30.92
2011-02-01 05:00:00,36.03
2011-02-01 06:00:00,37.67
2011-02-01 07:00:00,23.83
2011-02-01 08:00:00,22.55
2011-02-01 09:00:00,36.82
2011-02-01 10:00:00,33.99
2011-02-01 11:00:00,26.81
2011-02-01 12:00:00,22.37
2011-02-01 13:00:00,38.87
2011-02-01 14:00:00,37.57
2011-02-01 15:00:00,28.6
2011-02-01 16:00:00,29.78
2011-02-01 17:00:00,41.12
2011-02-01 18:00:00,35.95
2011-02-01 19:00:00,26.84
2011-02-01 20:00:00,25.68
2011-02-01 21:00:00,30.55
2011-02-01 22:00:00,33.95
2011-02-01 23:00:00,24.0
2011-02-02 00:00:00,25.83
2011-02-02 01:00:00,36.28
2011-02-02 02:00:00,35.15
2011-02-02 03:00:00,32.06
2011-02-02 04:00:00,32.21
2011-02-02 05:00:00,36.82
2011-02-02 06:00:00,35.44
2011-02-02 07:00:00,27.89
2011-02-02 08:00:00,30.2
2011-02-02 09:00:00,36.42
2011-02-02 10:00:00,39.06
2011-02-02 11:00:00,24.37
2011-02-02 12:00:00,28.86
2011-02-02 13:00:00,34.52
2011-02-02 14:00:00,33.89
2011-02-02 15:00:00,28.19
2011-02-02 16:00:00,29.23
2011-02-02 17:00:00,41.26
2011-02-02 18:00:00,42.49
2011-02-02 19:00:00,36.6
2011-02-02 20:00:00,39.63
2011-02-02 21:00:00,46.8
2011-02-02 22:00:00,47.52
2011-02-02 23:00:00,32.69
2011-02-03 00:00:00,32.75
2011-02-03 01:00:00,44.43
2011-02-03 02:00:00,43.89
2011-02-03 03:00:00,35.34
2011-02-03 04:00:00,34.66
2011-02-03 05:00:00,47.08
2011-02-03 06:00:00,45.64
2011-02-03 07:00:00,34.18
2011-02-03 08:00:00,36.92
2011-02-03 09:00:00,41.51
2011-02-03 10:00:00,42.36
2011-02-03 11:00:00,29.5
2011-02-03 12:00:00,33.88
2011-02-03 13:00:00,42.21
2011-02-03 14:00:00,41.89
2011-02-03 15:00:00,33.44
2011-02-03 16:00:00,27.81
2011-02-03 17:00:00,35.58
2011-02-03 18:00:00,38.65
2011-02-03 19:00:00,31.89
2011-02-03 20:00:00,33.05
2011-02-03 21:00:00,38.2
2011-02-03 22:00:00,39.63
2011-02-03 23:00:00,32.31
2011-02-04 00:00:00,32.72
2011-02-04 01:00:00,45.62
2011-02-04 02:00:00,42.5
2011-02-04 03:00:00,31.22
2011-02-04 04:00:00,24.15
2011-02-04 05:00:00,36.99
2011-02-04 06:00:00,37.74
2011-02-04 07:00:00,23.42
2011-02-04 08:00:00,19.3
2011-02-04 09:00:00,27.25
2011-02-04 10:00:00,30.41
2011-02-04 11:00:00,20.97
2011-02-04 12:00:00,19.95
2011-02-04 13:00:00,27.44
2011-02-04 14:00:00,25.04
2011-02-04 15:00:00,11.24
2011-02-04 16:00:00,9.99
2011-02-04 17:00:00,18.28
2011-02-04 18:00:00,22.0
2011-02-04 19:00:00,13.8
2011-02-04 20:00:00,13.45
2011-02-04 21:00:00,31.53
2011-02-04 22:00:00,29.89
2011-02-04 23:00:00,24.9
2011-02-05 00:00:00,30.77
2011-02-05 01:00:00,35.49
