,Flow
2014-01-01 03:10:00,240.93
2014-01-01 03:11:00,231.49
2014-01-01 03:12:00,243.5
2014-01-01 03:13:00,243.08
2014-01-01 03:14:00,242.39
2014-01-01 03:15:00,242.52
2014-01-01 03:16:00,242.45
2014-01-01 03:17:00,240.14
2014-01-01 03:18:00,242.79
2014-01-01 03:19:00,244.25
2014-01-01 03:20:00,235.79
2014-01-01 03:21:00,243.72
2014-01-01 03:22:00,243.19
2014-01-01 03:23:00,241.38
2014-01-01 03:24:00,243.91
2014-01-01 03:25:00,243.16
2014-01-01 03:26:00,243.34
2014-01-01 03:27:00,239.12
2014-01-01 03:28:00,241.96
2014-01-01 03:29:00,243.53
2014-01-01 03:30:00,242.68
2014-01-01 03:31:00,244.43
2014-01-01 03:32:00,246.67
2014-01-01 03:33:00,245.85
2014-01-01 03:34:00,244.68
2014-01-01 03:35:00,244.66
2014-01-01 03:36:00,243.72
2014-01-01 03:37:00,243.03
2014-01-01 03:38:00,244.29
2014-01-01 03:39:00,244.96
2014-01-01 03:40:00,244.28
2014-01-01 03:41:00,244.26
2014-01-01 03:42:00,235.01
2014-01-01 03:43:00,243.27
2014-01-01 03:44:00,243.92
2014-01-01 03:45:00,244.45
2014-01-01 03:46:00,244.78
2014-01-01 03:47:00,243.81
2014-01-01 03:48:00,243.25
2014-01-01 03:49:00,242.75
2014-01-01 03:50:00,244.08
2014-01-01 03:51:00,243.93
2014-01-01 03:52:00,244.45
2014-01-01 03:53:00,243.47
2014-01-01 03:54:00,244.29
2014-01-01 03:55:00,243.61
2014-01-01 03:56:00,243.91
2014-01-01 03:57:00,244.48
2014-01-01 03:58:00,235.77
2014-01-01 03:59:00,244.94
2014-01-01 04:00:00,243.91
2014-01-01 04:01:00,243.77
2014-01-01 04:02:00,243.02
2014-01-01 04:03:00,244.26
2014-01-01 04:04:00,245.36
2014-01-01 04:05:00,245.11
2014-01-01 04:06:00,244.14
2014-01-01 04:07:00,244.11
2014-01-01 04:08:00,243.17
2014-01-01 04:09:00,235.63
2014-01-01 04:10:00,244.29
2014-01-01 04:11:00,246.28
2014-01-01 04:12:00,245.67
2014-01-01 04:13:00,246.11
2014-01-01 04:14:00,246.21
2014-01-01 04:15:00,245.78
2014-01-01 04:16:00,247.25
2014-01-01 04:17:00,247.42
2014-01-01 04:18:00,250.11
2014-01-01 04:19:00,250.02
2014-01-01 04:20:00,249.36
2014-01-01 04:21:00,249.22
2014-01-01 04:22:00,249.07
2014-01-01 04:23:00,248.33
2014-01-01 04:24:00,250.4
2014-01-01 04:25:00,244.81
2014-01-01 04:26:00,251.69
2014-01-01 04:27:00,250.29
2014-01-01 04:28:00,250.08
2014-01-01 04:29:00,247.58
2014-01-01 04:30:00,240.82
2014-01-01 04:31:00,241.02
2014-01-01 04:32:00,250.92
2014-01-01 04:33:00,251.91
2014-01-01 04:34:00,251.11
2014-01-01 04:35:00,250.65
2014-01-01 04:36:00,249.67
2014-01-01 04:37:00,247.61
2014-01-01 04:38:00,249.91
2014-01-01 04:39:00,248.97
2014-01-01 04:40:00,251.28
2014-01-01 04:41:00,251.12
2014-01-01 04:42:00,248.12
2014-01-01 04:43:00,249.15
2014-01-01 04:44:00,248.83
2014-01-01 04:45:00,250.0
2014-01-01 04:46:00,250.7
2014-01-01 04:47:00,248.85
2014-01-01 04:48:00,250.47
2014-01-01 04:49:00,248.64
2014-01-01 04:50:00,249.49
2014-01-01 04:51:00,250.41
2014-01-01 04:52:00,251.16
2014-01-01 04:53:00,241.53
2014-01-01 04:54:00,250.45
2014-01-01 04:55:00,250.43
2014-01-01 04:56:00,250.13
2014-01-01 04:57:00,250.54
2014-01-01 04:58:00,251.26
2014-01-01 04:59:00,252.18
2014-01-01 05:00:00,249.65
2014-01-01 05:01:00,252.15
2014-01-01 05:02:00,251.05
2014-01-01 05:03:00,251.98
2014-01-01 05:04:00,252.45
2014-01-01 05:05:00,253.55
2014-01-01 05:06:00,254.19
2014-01-01 05:07:00,253.14
2014-01-01 05:08:00,252.85
2014-01-01 05:09:00,252.91
2014-01-01 05:10:00,247.97
2014-01-01 05:11:00,252.57
2014-01-01 05:12:00,256.21
2014-01-01 05:13:00,254.75
2014-01-01 05:14:00,254.44
2014-01-01 05:15:00,253.78
2014-01-01 05:16:00,252.83
2014-01-01 05:17:00,252.38
2014-01-01 05:18:00,253.39
2014-01-01 05:19:00,255.26
2014-01-01 05:20:00,255.6
2014-01-01 05:21:00,253.87
2014-01-01 05:22:00,251.47
2014-01-01 05:23:00,252.65
2014-01-01 05:24:00,253.22
2014-01-01 05:25:00,252.97
2014-01-01 05:26:00,255.04
2014-01-01 05:27:00,254.31
2014-01-01 05:28:00,251.13
2014-01-01 05:29:00,252.47
2014-01-01 05:30:00,252.6
2014-01-01 05:31:00,243.96
2014-01-01 05:32:00,252.98
2014-01-01 05:33:00,252.41
2014-01-01 05:34:00,252.75
2014-01-01 05:35:00,253.16
2014-01-01 05:36:00,250.72
2014-01-01 05:37:00,243.59
2014-01-01 05:38:00,252.72
2014-01-01 05:39:00,254.82
2014-01-01 05:40:00,255.0
2014-01-01 05:41:00,254.32
2014-01-01 05:42:00,254.57
2014-01-01 05:43:00,253.37
2014-01-01 05:44:00,253.6
2014-01-01 05:45:00,244.27
2014-01-01 05:46:00,254.86
2014-01-01 05:47:00,255.68
2014-01-01 05:48:00,254.26
2014-01-01 05:49:00,250.82
2014-01-01 05:50:00,253.12
2014-01-01 05:51:00,249.0
2014-01-01 05:52:00,253.21
2014-01-01 05:53:00,254.58
2014-01-01 05:54:00,256.05
2014-01-01 05:55:00,248.19
2014-01-01 05:56:00,253.96
2014-01-01 05:57:00,253.76
2014-01-01 05:58:00,252.99
2014-01-01 05:59:00,252.29
2014-01-01 06:00:00,253.48
2014-01-01 06:01:00,256.19
2014-01-01 06:02:00,255.82
2014-01-01 06:03:00,254.04
2014-01-01 06:04:00,243.75
2014-01-01 06:05:00,252.4
2014-01-01 06:06:00,253.21
2014-01-01 06:07:00,254.16
2014-01-01 06:08:00,249.0
2014-01-01 06:09:00,253.68
2014-01-01 06:10:00,254.04
2014-01-01 06:11:00,253.04
2014-01-01 06:12:00,253.74
2014-01-01 06:13:00,254.2
2014-01-01 06:14:00,252.83
2014-01-01 06:15:00,254.37
2014-01-01 06:16:00,254.18
2014-01-01 06:17:00,253.22
2014-01-01 06:18:00,253.22
2014-01-01 06:19:00,253.23
2014-01-01 06:20:00,254.6
2014-01-01 06:21:00,256.03
2014-01-01 06:22:00,255.22
2014-01-01 06:23:00,255.77
2014-01-01 06:24:00,254.98
2014-01-01 06:25:00,254.67
2014-01-01 06:26:00,254.97
2014-01-01 06:27:00,255.96
2014-01-01 06:28:00,256.06
2014-01-01 06:29:00,255.43
2014-01-01 06:30:00,255.51
2014-01-01 06:31:00,255.48
2014-01-01 06:32:00,254.91
2014-01-01 06:33:00,255.77
2014-01-01 06:34:00,256.35
2014-01-01 06:35:00,256.48
2014-01-01 06:36:00,256.13
2014-01-01 06:37:00,256.4
2014-01-01 06:38:00,253.85
2014-01-01 06:39:00,255.29
2014-01-01 06:40:00,256.15
2014-01-01 06:41:00,256.56
2014-01-01 06:42:00,255.74
2014-01-01 06:43:00,255.32
2014-01-01 06:44:00,245.76
2014-01-01 06:45:00,254.67
2014-01-01 06:46:00,255.34
2014-01-01 06:47:00,256.24
2014-01-01 06:48:00,255.72
2014-01-01 06:49:00,254.7
2014-01-01 06:50:00,255.41
2014-01-01 06:51:00,255.69
2014-01-01 06:52:00,254.8
2014-01-01 06:53:00,255.87
2014-01-01 06:54:00,258.99
2014-01-01 06:55:00,257.39
2014-01-01 06:56:00,257.5
2014-01-01 06:57:00,256.83
2014-01-01 06:58:00,255.74
2014-01-01 06:59:00,256.81
2014-01-01 07:00:00,247.9
2014-01-01 07:01:00,259.66
2014-01-01 07:02:00,259.23
2014-01-01 07:03:00,255.04
2014-01-01 07:04:00,252.2
2014-01-01 07:05:00,257.14
2014-01-01 07:06:00,257.46
2014-01-01 07:07:00,257.5
2014-01-01 07:08:00,259.92
2014-01-01 07:09:00,259.27
2014-01-01 07:10:00,258.97
2014-01-01 07:11:00,259.37
2014-01-01 07:12:00,257.69
2014-01-01 07:13:00,258.68
2014-01-01 07:14:00,260.27
2014-01-01 07:15:00,261.87
2014-01-01 07:16:00,260.99
2014-01-01 07:17:00,259.95
2014-01-01 07:18:00,259.16
2014-01-01 07:19:00,258.95
2014-01-01 07:20:00,258.2
2014-01-01 07:21:00,260.95
2014-01-01 07:22:00,263.4
2014-01-01 07:23:00,260.0
2014-01-01 07:24:00,260.14
2014-01-01 07:25:00,260.56
2014-01-01 07:26:00,259.35
2014-01-01 07:27:00,250.48
2014-01-01 07:28:00,260.91
2014-01-01 07:29:00,261.41
2014-01-01 07:30:00,260.93
2014-01-01 07:31:00,259.93
2014-01-01 07:32:00,259.57
2014-01-01 07:33:00,259.25
2014-01-01 07:34:00,259.69
2014-01-01 07:35:00,261.29
2014-01-01 07:36:00,260.77
2014-01-01 07:37:00,258.86
2014-01-01 07:38:00,259.35
2014-01-01 07:39:00,247.51
2014-01-01 07:40:00,260.1
2014-01-01 07:41:00,261.16
2014-01-01 07:42:00,261.0
2014-01-01 07:43:00,261.41
2014-01-01 07:44:00,258.77
2014-01-01 07:45:00,259.62
2014-01-01 07:46:00,259.14
2014-01-01 07:47:00,259.44
2014-01-01 07:48:00,261.83
2014-01-01 07:49:00,261.2
2014-01-01 07:50:00,260.48
2014-01-01 07:51:00,259.82
2014-01-01 07:52:00,258.47
2014-01-01 07:53:00,259.38
2014-01-01 07:54:00,260.33
2014-01-01 07:55:00,262.05
2014-01-01 07:56:00,261.0
2014-01-01 07:57:00,259.59
2014-01-01 07:58:00,250.31
2014-01-01 07:59:00,257.5
2014-01-01 08:00:00,259.72
2014-01-01 08:01:00,261.71
2014-01-01 08:02:00,263.78
2014-01-01 08:03:00,260.5
2014-01-01 08:04:00,258.09
2014-01-01 08:05:00,259.8
2014-01-01 08:06:00,259.39
2014-01-01 08:07:00,259.27
2014-01-01 08:08:00,261.0
2014-01-01 08:09:00,261.64
2014-01-01 08:10:00,259.42
2014-01-01 08:11:00,260.48
2014-01-01 08:12:00,258.49
2014-01-01 08:13:00,259.6
2014-01-01 08:14:00,259.52
2014-01-01 08:15:00,251.48
2014-01-01 08:16:00,260.59
2014-01-01 08:17:00,259.54
2014-01-01 08:18:00,259.79
2014-01-01 08:19:00,258.63
2014-01-01 08:20:00,258.27
2014-01-01 08:21:00,260.5
2014-01-01 08:22:00,262.2
2014-01-01 08:23:00,260.55
2014-01-01 08:24:00,259.93
2014-01-01 08:25:00,258.42
2014-01-01 08:26:00,258.24
2014-01-01 08:27:00,257.69
2014-01-01 08:28:00,259.31
2014-01-01 08:29:00,262.62
2014-01-01 08:30:00,260.55
2014-01-01 08:31:00,260.18
2014-01-01 08:32:00,258.3
2014-01-01 08:33:00,257.86
2014-01-01 08:34:00,258.04
2014-01-01 08:35:00,250.93
2014-01-01 08:36:00,249.21
2014-01-01 08:37:00,248.35
2014-01-01 08:38:00,258.37
2014-01-01 08:39:00,257.58
2014-01-01 08:40:00,258.26
2014-01-01 08:41:00,260.49
2014-01-01 08:42:00,259.52
2014-01-01 08:43:00,254.52
2014-01-01 08:44:00,256.98
2014-01-01 08:45:00,254.59
2014-01-01 08:46:00,253.22
2014-01-01 08:47:00,253.43
2014-01-01 08:48:00,254.18
2014-01-01 08:49:00,251.46
2014-01-01 08:50:00,248.82
2014-01-01 08:51:00,245.98
2014-01-01 08:52:00,243.57
2014-01-01 08:53:00,241.43
2014-01-01 08:54:00,239.0
2014-01-01 08:55:00,238.37
2014-01-01 08:56:00,236.34
2014-01-01 08:57:00,234.36
2014-01-01 08:58:00,232.62
2014-01-01 08:59:00,227.95
2014-01-01 09:00:00,230.56
2014-01-01 09:01:00,231.32
2014-01-01 09:02:00,229.07
2014-01-01 09:03:00,225.66
2014-01-01 09:04:00,224.17
2014-01-01 09:05:00,222.79
2014-01-01 09:06:00,221.37
2014-01-01 09:07:00,222.36
2014-01-01 09:08:00,220.13
2014-01-01 09:09:00,222.42
2014-01-01 09:10:00,220.78
2014-01-01 09:11:00,216.5
2014-01-01 09:12:00,218.24
2014-01-01 09:13:00,216.33
2014-01-01 09:14:00,215.71
2014-01-01 09:15:00,216.81
2014-01-01 09:16:00,216.23
2014-01-01 09:17:00,214.5
2014-01-01 09:18:00,213.63
2014-01-01 09:19:00,213.14
2014-01-01 09:20:00,211.1
2014-01-01 09:21:00,211.3
2014-01-01 09:22:00,211.99
2014-01-01 09:23:00,211.4
2014-01-01 09:24:00,210.55
2014-01-01 09:25:00,210.12
2014-01-01 09:26:00,206.9
2014-01-01 09:27:00,208.88
2014-01-01 09:28:00,208.92
2014-01-01 09:29:00,211.48
2014-01-01 09:30:00,212.48
2014-01-01 09:31:00,209.26
2014-01-01 09:32:00,211.27
2014-01-01 09:33:00,210.51
2014-01-01 09:34:00,209.87
2014-01-01 09:35:00,209.49
2014-01-01 09:36:00,209.05
2014-01-01 09:37:00,208.18
2014-01-01 09:38:00,208.26
2014-01-01 09:39:00,208.43
2014-01-01 09:40:00,209.91
2014-01-01 09:41:00,209.45
2014-01-01 09:42:00,202.64
2014-01-01 09:43:00,207.94
2014-01-01 09:44:00,208.02
2014-01-01 09:45:00,208.26
2014-01-01 09:46:00,208.01
2014-01-01 09:47:00,208.97
2014-01-01 09:48:00,211.9
2014-01-01 09:49:00,211.38
2014-01-01 09:50:00,209.95
2014-01-01 09:51:00,209.62
2014-01-01 09:52:00,209.81
2014-01-01 09:53:00,208.85
2014-01-01 09:54:00,207.89
2014-01-01 09:55:00,207.77
2014-01-01 09:56:00,207.07
2014-01-01 09:57:00,206.37
2014-01-01 09:58:00,199.95
2014-01-01 09:59:00,208.72
2014-01-01 10:00:00,207.21
2014-01-01 10:01:00,205.91
2014-01-01 10:02:00,204.56
2014-01-01 10:03:00,203.2
2014-01-01 10:04:00,203.28
2014-01-01 10:05:00,202.49
2014-01-01 10:06:00,202.32
2014-01-01 10:07:00,204.27
2014-01-01 10:08:00,205.46
2014-01-01 10:09:00,203.52
2014-01-01 10:10:00,203.18
2014-01-01 10:11:00,202.35
2014-01-01 10:12:00,201.3
2014-01-01 10:13:00,192.17
2014-01-01 10:14:00,200.64
2014-01-01 10:15:00,200.01
2014-01-01 10:16:00,200.52
2014-01-01 10:17:00,199.46
2014-01-01 10:18:00,199.51
2014-01-01 10:19:00,200.55
2014-01-01 10:20:00,198.44
2014-01-01 10:21:00,200.54
2014-01-01 10:22:00,199.05
2014-01-01 10:23:00,198.57
2014-01-01 10:24:00,198.0
2014-01-01 10:25:00,196.56
2014-01-01 10:26:00,197.2
2014-01-01 10:27:00,196.66
2014-01-01 10:28:00,195.8
2014-01-01 10:29:00,198.48
2014-01-01 10:30:00,200.23
2014-01-01 10:31:00,200.05
2014-01-01 10:32:00,198.92
2014-01-01 10:33:00,197.18
2014-01-01 10:34:00,194.14
2014-01-01 10:35:00,183.22
2014-01-01 10:36:00,194.6
2014-01-01 10:37:00,195.1
2014-01-01 10:38:00,192.3
2014-01-01 10:39:00,195.89
2014-01-01 10:40:00,195.34
2014-01-01 10:41:00,193.92
2014-01-01 10:42:00,190.78
2014-01-01 10:43:00,181.08
2014-01-01 10:44:00,197.38
2014-01-01 10:45:00,196.22
2014-01-01 10:46:00,196.85
2014-01-01 10:47:00,197.2
2014-01-01 10:48:00,193.14
2014-01-01 10:49:00,195.5
2014-01-01 10:50:00,195.3
2014-01-01 10:51:00,196.45
2014-01-01 10:52:00,195.48
2014-01-01 10:53:00,196.42
2014-01-01 10:54:00,192.05
2014-01-01 10:55:00,195.02
2014-01-01 10:56:00,194.31
2014-01-01 10:57:00,193.78
2014-01-01 10:58:00,194.32
2014-01-01 10:59:00,193.67
2014-01-01 11:00:00,188.75
2014-01-01 11:01:00,193.15
2014-01-01 11:02:00,195.72
2014-01-01 11:03:00,195.98
2014-01-01 11:04:00,195.02
2014-01-01 11:05:00,194.4
2014-01-01 11:06:00,195.53
2014-01-01 11:07:00,194.03
2014-01-01 11:08:00,192.47
2014-01-01 11:09:00,194.07
2014-01-01 11:10:00,194.1
2014-01-01 11:11:00,192.77
2014-01-01 11:12:00,197.53
2014-01-01 11:13:00,197.76
2014-01-01 11:14:00,195.96
2014-01-01 11:15:00,195.36
2014-01-01 11:16:00,195.76
2014-01-01 11:17:00,194.79
2014-01-01 11:18:00,193.9
2014-01-01 11:19:00,190.01
2014-01-01 11:20:00,192.25
2014-01-01 11:21:00,190.52
2014-01-01 11:22:00,190.9
2014-01-01 11:23:00,192.51
2014-01-01 11:24:00,194.1
2014-01-01 11:25:00,194.87
2014-01-01 11:26:00,191.92
2014-01-01 11:27:00,195.22
2014-01-01 11:28:00,193.23
2014-01-01 11:29:00,191.53
2014-01-01 11:30:00,191.45
2014-01-01 11:31:00,191.11
2014-01-01 11:32:00,191.97
2014-01-01 11:33:00,192.22
2014-01-01 11:34:00,192.79
2014-01-01 11:35:00,196.42
2014-01-01 11:36:00,197.2
2014-01-01 11:37:00,196.17
2014-01-01 11:38:00,196.11
2014-01-01 11:39:00,193.29
2014-01-01 11:40:00,193.37
2014-01-01 11:41:00,193.41
2014-01-01 11:42:00,193.13
2014-01-01 11:43:00,192.03
2014-01-01 11:44:00,190.94
2014-01-01 11:45:00,191.91
2014-01-01 11:46:00,190.39
2014-01-01 11:47:00,192.79
2014-01-01 11:48:00,191.9
2014-01-01 11:49:00,197.19
2014-01-01 11:50:00,195.94
2014-01-01 11:51:00,196.25
2014-01-01 11:52:00,194.48
2014-01-01 11:53:00,193.05
2014-01-01 11:54:00,190.82
2014-01-01 11:55:00,192.15
2014-01-01 11:56:00,190.09
2014-01-01 11:57:00,191.81
2014-01-01 11:58:00,197.11
2014-01-01 11:59:00,195.34
2014-01-01 12:00:00,193.32
2014-01-01 12:01:00,194.7
2014-01-01 12:02:00,192.62
2014-01-01 12:03:00,192.62
2014-01-01 12:04:00,190.72
2014-01-01 12:05:00,191.53
2014-01-01 12:06:00,188.66
2014-01-01 12:07:00,189.51
2014-01-01 12:08:00,180.91
2014-01-01 12:09:00,194.18
2014-01-01 12:10:00,195.67
2014-01-01 12:11:00,193.82
2014-01-01 12:12:00,194.96
2014-01-01 12:13:00,190.8
2014-01-01 12:14:00,192.96
2014-01-01 12:15:00,191.44
2014-01-01 12:16:00,192.68
2014-01-01 12:17:00,190.34
2014-01-01 12:18:00,190.45
2014-01-01 12:19:00,191.74
2014-01-01 12:20:00,188.07
2014-01-01 12:21:00,196.43
2014-01-01 12:22:00,194.31
2014-01-01 12:23:00,194.24
2014-01-01 12:24:00,179.02
2014-01-01 12:25:00,191.25
2014-01-01 12:26:00,190.73
2014-01-01 12:27:00,189.88
2014-01-01 12:28:00,189.81
2014-01-01 12:29:00,189.78
2014-01-01 12:30:00,185.64
2014-01-01 12:31:00,187.42
2014-01-01 12:32:00,189.46
2014-01-01 12:33:00,191.4
2014-01-01 12:34:00,195.39
2014-01-01 12:35:00,192.41
2014-01-01 12:36:00,193.53
2014-01-01 12:37:00,191.31
2014-01-01 12:38:00,191.67
2014-01-01 12:39:00,190.17
2014-01-01 12:40:00,190.39
2014-01-01 12:41:00,192.31
2014-01-01 12:42:00,189.6
2014-01-01 12:43:00,190.72
2014-01-01 12:44:00,189.13
2014-01-01 12:45:00,187.92
2014-01-01 12:46:00,189.25
2014-01-01 12:47:00,187.78
2014-01-01 12:48:00,188.43
2014-01-01 12:49:00,187.13
2014-01-01 12:50:00,187.55
2014-01-01 12:51:00,188.45
2014-01-01 12:52:00,189.26
2014-01-01 12:53:00,186.41
2014-01-01 12:54:00,189.61
2014-01-01 12:55:00,188.52
2014-01-01 12:56:00,187.06
2014-01-01 12:57:00,180.93
2014-01-01 12:58:00,188.42
2014-01-01 12:59:00,194.37
2014-01-01 13:00:00,192.67
2014-01-01 13:01:00,193.51
2014-01-01 13:02:00,192.17
2014-01-01 13:03:00,192.42
2014-01-01 13:04:00,190.03
2014-01-01 13:05:00,188.8
2014-01-01 13:06:00,191.45
2014-01-01 13:07:00,188.8
2014-01-01 13:08:00,188.04
2014-01-01 13:09:00,186.39
2014-01-01 13:10:00,186.83
2014-01-01 13:11:00,186.8
2014-01-01 13:12:00,186.51
2014-01-01 13:13:00,186.28
2014-01-01 13:14:00,183.43
2014-01-01 13:15:00,186.0
2014-01-01 13:16:00,185.64
2014-01-01 13:17:00,185.72
2014-01-01 13:18:00,185.99
2014-01-01 13:19:00,191.0
2014-01-01 13:20:00,191.82
2014-01-01 13:21:00,189.73
2014-01-01 13:22:00,190.01
2014-01-01 13:23:00,188.01
2014-01-01 13:24:00,189.03
2014-01-01 13:25:00,189.66
2014-01-01 13:26:00,187.82
2014-01-01 13:27:00,188.77
2014-01-01 13:28:00,187.57
2014-01-01 13:29:00,187.47
2014-01-01 13:30:00,187.68
2014-01-01 13:31:00,186.72
2014-01-01 13:32:00,185.44
2014-01-01 13:33:00,186.65
2014-01-01 13:34:00,186.26
2014-01-01 13:35:00,183.93
2014-01-01 13:36:00,183.67
2014-01-01 13:37:00,184.66
2014-01-01 13:38:00,172.59
2014-01-01 13:39:00,186.48
2014-01-01 13:40:00,189.2
2014-01-01 13:41:00,191.6
